name,description,lead source,c_name_dba_c,c_name_generic_c,c_listing_address_c,c_listing_city_c,c_listing_postal_c,c_listing_downpayment_c,c_listing_askingprice_c,c_listing_terms_c,c_listing_reasonforselling_c,c_listing_support_training_c,c_listing_featured_c,c_listing_relocatable_c,c_listing_franchise_c,c_financial_grossrevenue_c,c_financial_rent_c,c_listing_hours_c,c_listing_yearsest_c,c_listing_frontend_id_c,c_financial_leasedequip_c,Assigned_Broker,NAICDescription,DateAgreement Signed,Date Agreement Expires,LicenseRequired:,Days Open:,HoursOpen:,Employees:,Employees:,Status,c_listing_featured_c,Management will Stay:,State | Province,Main Business Phone:,Building Size:,Real State Estd,Real Estate Included,Real Estate Available,Real Estate Price,Real Estate Asking:,Remarks,Web City:,FF & E Asking,FF & E Included,Inventory Price Included,Inventory Price,c_financial_grossrevenue_c,Annual Cash Flow:,Liens Total,Year Acquired:,Date Modified:,Date Entered:,Assigned To Name,Monthly Payroll:,Building Size Type:,Is property leased?,seller,listing broker,currency
"Stanford Truck Line, STL Rental & Supply","This truck line business for sale in South Louisiana is a locally owned and operated company that provides quality and prompt service to its customers.  Business has 18 yearsâ€™ worth of tradition and superior service in the Louisiana oilfield.  They will not only haul drilling equipment, they also have an impressive inventory that they rent themselves.   	This oilfield truck line business for sale is located on a high exposure corridor that gives the company access to the majority of its clients.  Business is found in a nice city in South Louisiana with plenty of potential customers in the city and surrounding areas. 	Real estate consists of 3 acres, all padded, and a beautiful approximately 8,500 sq ft facility.  All real estate is included in the sale.   	Seller is interested in other business opportunities and is highly motivated to divest of this successful truck line business for sale in South Louisiana.  Company has a well trained staff in place, and seller will train the new owner to ensure a smooth transition.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this first-class truck line company for sale, meet the owner, imagine yourself in charge, make offer.",,Stanford Truck Line,Oilfield Truck Line Business For Sale in Lafayette Area,6098 Egan Highway,Crowley,70526,0,5500000,,Other Business Interests,Yes,1,Yes,Yes,3170000,0,7:30 am - 5 pm,,LAFAYETLA1-N1,,"Don Pippin, Jr.",Specialized Freight Trucking,,,,Mon - Fri,7:30 am - 5 pm,16,,Inactive,2,1,LA,337-779-3187,8500,1994,2,2,0,0,"	This truck line business for sale in South Louisiana is a locally owned and operated company that provides quality and prompt service to its customers.  Business has 18 years’ worth of tradition and superior service in the Louisiana oilfield.  They will not only haul drilling equipment, they also have an impressive inventory that they rent themselves.  
	This oilfield truck line business for sale is located on a high exposure corridor that gives the company access to the majority of its clients.  Business is found in a nice city in South Louisiana with plenty of potential customers in the city and surrounding areas.
	Real estate consists of 3 acres, all padded, and a beautiful approximately 8,500 sq ft facility.  All real estate is included in the sale.  
	Seller is interested in other business opportunities and is highly motivated to divest of this successful truck line business for sale in South Louisiana.  Company has a well trained staff in place, and seller will train the new owner to ensure a smooth transition.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this first-class truck line company for sale, meet the owner, imagine yourself in charge, make offer. 
",South,2178000,2,2,347537,3170000,1201474,0,1994,,,"Don Pippin, Jr.",74823,sq ft,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProClean Restoration,"This power washing and cleaning company is on the move and is emerging as one of the highest growth small businesses in its area.  Company recently received assistance through a local partnership program that has taken the business to the next level and looks to increase profits tremendously.  Business offers commercial and residential restorative cleaning of exterior structures, as well as masonry sealants and waterproofing applications.  Business has increased over 30% the last year and is poised to continue this trend.  Contracts are in place and company is ready for a  new owner to step in and take charge.  Business is currently owner-operated and is homebased.  This keeps overhead low and profits high.  All equipment (appraised at approximately $55,000) is top of the line and included in the sale.  There is also a state-of-the-art website with services offered, company information, and special offers.   	Business is located in a high growth area of Central Louisiana, where its primary customer base is located.  Company can be grown by a motivated owner and can reach outside its current area to cover more of South Louisiana.  In this part of the state, the possibilities are endless.  This area is a wonderful place to live with great schools, affordable housing, and entertainment opportunities for the whole family. 	Seller has other business interests and is motivated to sell quickly.  Seller will help transition the business and train the new owner on this easy to own and operate company.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  This is a once in a lifetime opportunity to acquire a company that is poised for such substantial growth at such a low price.  Hurry before the value of the business grows along with the profits, come meet the owner, make offer.",,ProClean Restoration,Power Washing & Cleaning - Homebased-Lake Charles Area,1997 Dovie Drive,Pineville,71360,0,59000,,Other Business Interest,Yes,1,Yes,Yes,48000,0,,,LAFAYETLA1-N2,,"Don Pippin, Jr.",Other Services to Buildings and Dwellings,5/16/2011 0:00,5/16/2012 0:00,,Mon - Sat,,,,Active,2,1,LA,318-308-6780,,2007,1,1,0,0,"	This power washing and cleaning company is on the move and is emerging as one of the highest growth small businesses in its area.  Company recently received assistance through a local partnership program that has taken the business to the next level and looks to increase profits tremendously.  Business offers commercial and residential restorative cleaning of exterior structures, as well as masonry sealants and waterproofing applications.  Business has increased over 30% the last year and is poised to continue this trend.  Contracts are in place and company is ready for a  new owner to step in and take charge.  Business is currently owner-operated and is homebased.  This keeps overhead low and profits high.  All equipment (appraised at approximately $55,000) is top of the line and included in the sale.  There is also a state-of-the-art website with services offered, company information, and special offers.  
	Business is located in a high growth area of Central Louisiana, where its primary customer base is located.  Company can be grown by a motivated owner and can reach outside its current area to cover more of South Louisiana.  In this part of the state, the possibilities are endless.  This area is a wonderful place to live with great schools, affordable housing, and entertainment opportunities for the whole family.
	Seller has other business interests and is motivated to sell quickly.  Seller will help transition the business and train the new owner on this easy to own and operate company.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  This is a once in a lifetime opportunity to acquire a company that is poised for such substantial growth at such a low price.  Hurry before the value of the business grows along with the profits, come meet the owner, make offer.
",Central,55000,2,1,0,48000,40000,0,2007,6/20/2016 21:19,6/20/2016 21:14,"Don Pippin, Jr.",0,sq ft,1,,,
Source Environmental Services Inc.,"This 21 year old, full scale environmental company specializes in N.O.R.M.  They specialize in waste handling, remediation, and new technologies to provide the greenest solution to any problem.  This full service environmental company serves primarily the oilfield community, in the U.S. and now in the Middle East.  It specializes in Decontamination and Remediation of Naturally Occurring Radioactive Materials (NORM) contaminated Equipment and Grounds.  It has been providing the engineering procedures and cost estimates, permitting, personnel and equipment, record keeping and compliance verification of every job both in its commercial decontamination facilities and at customersâ€™ facilities. 	Common sense solutions like putting waste back into underground formations, the source from which it was produced, has made the company successful.  Company is able to handle a wide range of projects: from small projects costing a few thousand dollars to major pipe decontamination jobs, including plug and abandonment of oil wells and remediation of their facilities ranging in cost into the millions of dollars. 	Sale also includes a gasification melting service project consisting of 7.5 acres and all equipment.  This service offers an advantage to the company that no competition has.  The property is located on a shipping canal, rail spur, major river in Louisiana, and a major interstate highway. Companyâ€™s attention to safety, quality, and efficiency in treating NORM are an inseparable part of daily operation and has given the company the edge in assuring successful job completion.  A remarkable 75% of the companyâ€™s business comes from repeat customers. 	With a new owner and an injection of capital, company has the opportunity to acquire and complete a major project that will produce substantial benefit to the company.  This company with its great market niche would make an excellent acquisition for a major environmental remediation company. 	Seller desires to grow the company for a new owner or in the alternative retire.  Seller is open to substantive offers to which he will seriously consider and promptly reply.  Come see this outstanding company, meet the owner, be impressed, make offer.",,Source Environmental Services,Environmental Services and Remediation near Lafayette,4514 Bridge Street Highway,St. Martinville,70582,0,5000000,,Growth or Retirement,Yes,1,Yes,Yes,0,0,7:30 am - 5 pm,,LAFAYETLA1-N3,,"Don Pippin, Jr.",Remediation Services,4/4/2011 0:00,7/4/2011 0:00,,Mon - Fri,7:30 am - 5 pm,12,13,Active,2,1,LA,337-845-5468,13000,1990,2,2,0,0,"	This 21 year old, full scale environmental company specializes in N.O.R.M.  They specialize in waste handling, remediation, and new technologies to provide the greenest solution to any problem.  This full service environmental company serves primarily the oilfield community, in the U.S. and now in the Middle East.  It specializes in Decontamination and Remediation of Naturally Occurring Radioactive Materials (NORM) contaminated Equipment and Grounds.  It has been providing the engineering procedures and cost estimates, permitting, personnel and equipment, record keeping and compliance verification of every job both in its commercial decontamination facilities and at customers’ facilities.
	Common sense solutions like putting waste back into underground formations, the source from which it was produced, has made the company successful.  Company is able to handle a wide range of projects: from small projects costing a few thousand dollars to major pipe decontamination jobs, including plug and abandonment of oil wells and remediation of their facilities ranging in cost into the millions of dollars.
	Sale also includes a gasification melting service project consisting of 7.5 acres and all equipment.  This service offers an advantage to the company that no competition has.  The property is located on a shipping canal, rail spur, major river in Louisiana, and a major interstate highway.
Company’s attention to safety, quality, and efficiency in treating NORM are an inseparable part of daily operation and has given the company the edge in assuring successful job completion.  A remarkable 75% of the company’s business comes from repeat customers.
	With a new owner and an injection of capital, company has the opportunity to acquire and complete a major project that will produce substantial benefit to the company.  This company with its great market niche would make an excellent acquisition for a major environmental remediation company.
	Seller desires to grow the company for a new owner or in the alternative retire.  Seller is open to substantive offers to which he will seriously consider and promptly reply.  Come see this outstanding company, meet the owner, be impressed, make offer.
",Confidential,0,2,1,0,0,0,450000,1990,6/20/2016 21:19,6/20/2016 21:15,"Don Pippin, Jr.",60000,sq ft,1,,,
Quality Glass LLC,"38 year old auto glass replacement business is for sale. It is located in southwest Louisiana in a nice pleasant city with all the old southern charm. It is just a short distance to a major metropolitan city will all the amenities. There is plenty of affordable housing. City is a great place to live, work, and raise a family. Business offers a large variety of auto, retail and commercial glass replacement services. Business fixes windshields, mirrors, picture frame glass, and so much more. Business has a loyal customer base and is located right off of a popular street in town with heavy pedestrian traffic.  	Owner has decided to sell to enjoy retirement and is ready to sell. Owner will consider some seller financing for a qualified buyer with a reasonable down payment.  Seller will help train new owner on this easy to own and operate business. Contact us today for more information on this great auto glass replacement business for sale in southwest, Louisiana, meet the owner, make offer!",,Quality Glass,Auto Glass Replacement Business For Sale in Lake Charles Area,644 N. Main Street,Jennings,,0,99000,,Retirement,Yes,1,Yes,Yes,190000,0,,,LAFAYETLA1-N4,,"Don Pippin, Jr.","Automotive Body, Paint, Interior, and Glass Repair",6/17/2015 0:00,6/17/2016 0:00,Yes,5,,,,Active,2,1,LA,3378246121,,1977,1,2,0,0,"38 year old auto glass replacement business is for sale. It is located in southwest Louisiana in a nice pleasant city with all the old southern charm. It is just a short distance to a major metropolitan city will all the amenities. There is plenty of affordable housing. City is a great place to live, work, and raise a family. Business offers a large variety of auto, retail and commercial glass replacement services. Business fixes windshields, mirrors, picture frame glass, and so much more. Business has a loyal customer base and is located right off of a popular street in town with heavy pedestrian traffic. 
	Owner has decided to sell to enjoy retirement and is ready to sell. Owner will consider some seller financing for a qualified buyer with a reasonable down payment.  Seller will help train new owner on this easy to own and operate business. Contact us today for more information on this great auto glass replacement business for sale in southwest, Louisiana, meet the owner, make offer!
",Southwest,0,1,2,5000,190000,36000,0,2010,6/20/2016 21:19,6/20/2016 21:17,"Don Pippin, Jr.",0,sq ft,2,,,
"JDL Enterprises, LLC","Sunbelt Business Brokers of Lafayette presents this heavy duty and light towing and recovery business for sale in metro Lafayette, Louisiana. Business has a strong and reliable reputation in the community providing towing and recovery services for over 20 years. Its fleet of vehicles are well maintained and with limited competition business has thrived.  Business also provides light towing services as well as heavy towing. Real estate is available for purchase if desired but is not included in the current asking price. Staff is well trained and owner will help in a transition the new owner into this easy to own and operate business.   	Owner has decided to want to enjoy retirement and is motivated to sell. Owner may consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this heavy duty towing business for sale. Come meet the owner, see the great fleet of vehicles and meet the staff, make offer!",,Lavergne's Towing & Recvovery,"Heavy Duty and Light Towing Business For Sale in Metro Lafayette, LA",,Opelousas,,0,1400000,,Retirement,Yes,1,Yes,Yes,700000,0,,,LAFAYETLA1-N5,,"Don Pippin, Jr.",Motor Vehicle Towing,3/3/2016 0:00,3/3/2017 0:00,,7 Days,,5,4,Active,2,1,LA,337-342-8362,4500,1996,1,2,0,0,See Don Pippin Jr for more information.,Lafayette Metro,500000,2,2,0,700000,300000,0,,6/20/2016 21:18,6/20/2016 21:18,"Don Pippin, Jr.",0,sq ft,1,,,
All Star Pipe Services,"This is a great opportunity to add on to your existing oilfield service business, or have a specialized service company in the industry.  Seller is offering for sale top-notch equipment that services a specialty in the oilfield drilling industry.  Equipment is used for hydrostatic testing and the cleaning of drilling pipe.  There is also a good inventory of thread protectors that are sold to drillers.  This equipment can be relocated and used in any area of the oilfield region.  While currently located in South Louisiana, business does a lot of work in the Haynesville Shale trend of Northwest Louisiana.  This area would be an ideal location for the equipment to be utilized.  It would make a great addition for a company already operating in this industry. 	Seller does not have the time to devote to this extra division of his company, and is highly motivated to sell this portion, which would make a great addition for a company already operating in this industry.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see the top-notch oilfield service equipment, meet the owner, make offer.",,All Star Pipe Services,Oilfield Service Equipment - near Lafayette,890 Chretien Point Road,Sunset,70589,0,150000,,Other Business Interest,Yes,1,No,Yes,0,0,,,LAFAYETLA1-N6,,"Don Pippin, Jr.",Support Activities for Oil and Gas Operations,7/14/2011 0:00,7/14/2012 0:00,,,,0,0,Active,2,1,LA,337-257-9550,,1999,1,1,0,0,,Confidential,150000,2,1,0,0,0,0,2005,6/20/2016 21:21,6/20/2016 21:21,"Don Pippin, Jr.",0,sq ft,1,,,
Bella Beads,"Former jewelry supplies retail business in Metro Lafayette, Louisiana had built a large and loyal repeat customer following that stretches far and wide, even into neighboring states. That&acirc;&euro;&trade;s largely due to the excellent selection and exceptional inventory that the seller keeps on hand. Seller has also created several niche markets including birthday parties and bridal parties. Seller catered to groups who are eager to learn the newest trends in the beading/crafting market by doing retreats and hosting seminars taught by area artists. Due to other interests seller has shut down the retail operation of the business. Seller is now offering the goodwill of the business to include name and customer lists along with the current inventory for just the value of the inventory at sellers cost. Seller is ready to train and transition this fun and extremely easy jewelry supply business for sale in South Louisiana to a new owner. Seller is highly motivated and will quickly respond to all reasonable offers.  If you love crafts and can see yourself helping others learn and expand their creative talents, this could be your dream business! This would be a great acquisition for an existing retail jewelry store.",,Bella Beads,"Jewelry Supply Business For Sale in Metro Lafayette, LA",624 Lafayette ST (Hwy 89),Youngsville,,0,75000,,Retiring ,Yes,1,Yes,Yes,0,0,,,LAFAYETLA1-N7,,"Don Pippin, Jr.",Retail Trade,1/20/2015 0:00,7/31/2011 0:00,,,,,,Active,2,1,LA,337-234-7008,,2008,1,1,0,0," Former jewelry supplies retail business in Metro Lafayette, Louisiana had built a large and loyal repeat customer following that stretches far and wide, even into neighboring states. That’s largely due to the excellent selection and exceptional inventory that the seller keeps on hand. Seller has also created several niche markets including birthday parties and bridal parties. Seller catered to groups who are eager to learn the newest trends in the beading/crafting market by doing retreats and hosting seminars taught by area artists.
Due to other interests seller has shut down the retail operation of the business. Seller is now offering the goodwill of the business to include name and customer lists along with the current inventory for just the value of the inventory at sellers cost. Seller is ready to train and transition this fun and extremely easy jewelry supply business for sale in South Louisiana to a new owner. Seller is highly motivated and will quickly respond to all reasonable offers.  If you love crafts and can see yourself helping others learn and expand their creative talents, this could be your dream business! This would be a great acquisition for an existing retail jewelry store. 
",Lafayette Metro,0,1,2,75000,0,0,0,2008,6/20/2016 21:23,6/20/2016 21:23,"Don Pippin, Jr.",0,sq ft,1,,,
Mezco Fabrication LLC,"This successful fabrication shop focuses on providing quality products and great services to its customer base located in South Louisiana.  Shop offers precision laser cutting, CNC press brake bending, and state-of-the-art TIG and MIG welding on steel, stainless steel, aluminum, and other exotic metals.  Shop also offers prototype development of a product as well as full production run of a product.  Business can create products from scratch or refurbish an existing unit.  Business caters to all industries including but not limited to the oil and gas industry, heavy machinery, consumer products, furniture, fixtures, and office equipment, as well as industrial components.  There is a very well designed website that explains all product and service information, along with contact and location information.  This business would make an amazing acquisition opportunity for an existing fabrication shop looking to expand its product offerings and services, or for a start-up looking to enter the industry at a reasonable price. 	Business is located just outside a large metropolitan city of South Louisiana that gives it easy access to the majority of its customer base.  Area is a terrific place to be for this industry, and provides the company with a steady stream of customers as well as plenty of opportunities for growth.   	Seller has other business interests and is motivated to sell their successful fabrication shop.  Seller will train the new owner and help transition the business accordingly.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see the potential in this well run machine shop, meet the owner, make offer.",,Mezco Fabrication,Oilfield - Fabrication Shop,207 Arabian,Carencro,70508,0,0,,Other Business Interests,Yes,1,Yes,Yes,1250000,0,8 am - 5 pm,,LAFAYETLA1-N8,,"Don Pippin, Jr.",Fabricated Metal Product Manufacturing,3/24/2011 0:00,3/24/2012 0:00,,Mon - Fri,8 am - 5 pm,7,,Active,2,1,LA,337-896-2005,6300,2006,2,2,0,0,"	This successful fabrication shop focuses on providing quality products and great services to its customer base located in South Louisiana.  Shop offers precision laser cutting, CNC press brake bending, and state-of-the-art TIG and MIG welding on steel, stainless steel, aluminum, and other exotic metals.  Shop also offers prototype development of a product as well as full production run of a product.  Business can create products from scratch or refurbish an existing unit.  Business caters to all industries including but not limited to the oil and gas industry, heavy machinery, consumer products, furniture, fixtures, and office equipment, as well as industrial components.  There is a very well designed website that explains all product and service information, along with contact and location information.  This business would make an amazing acquisition opportunity for an existing fabrication shop looking to expand its product offerings and services, or for a start-up looking to enter the industry at a reasonable price.
	Business is located just outside a large metropolitan city of South Louisiana that gives it easy access to the majority of its customer base.  Area is a terrific place to be for this industry, and provides the company with a steady stream of customers as well as plenty of opportunities for growth.  
	Seller has other business interests and is motivated to sell their successful fabrication shop.  Seller will train the new owner and help transition the business accordingly.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see the potential in this well run machine shop, meet the owner, make offer.
",South,350000,2,1,0,1250000,150000,0,2006,6/20/2016 21:24,6/20/2016 21:24,"Don Pippin, Jr.",20000,sq ft,1,,,
R&S Seafood Grocery LLC,"This very nice grocery store business for sale is located in a suburb area of Lafayette, Louisiana.  The business has been in operation for over 30 years, and has become a staple in its rural community.  The grocery sells standard supermarket food and drink items, including a specialty in seafood.  The store is well-known for its handmade boulets, authentic eggrolls, and stuffed crawfish heads.  Business also sells beer, wine, and hard liquor.  Currently, the business is absentee owner, so an owner operator would have an increased cash flow.  The retail area is very spacious measuring approximately 2,065 sq ft in an impressive building on an approximately 1 / 2 acre lot.  Real estate is included in the sale.   	This grocery store business for sale is found in a charming and very safe rural area, on a heavily traveled road.  The business presents very well from the road, and is highly visible as well as easily accessible.  This grocery store is located in a rural suburban area of Lafayette, Louisiana.  This area has great culture, terrific food, and an abundance of outdoor activities.  There are also good schools and affordable housing, many with large or acreage lots.  It is a great area to live, do business, and raise a family. 	Seller has other business interests and is highly motivated to divest this grocery store business for sale.  Seller will train the new owner on this very easy to own and operate business.  Seller will finance the sale of this business to a qualified buyer with a reasonable down payment.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this established grocery store business for sale, meet the owner, make offer.",,R&S Seafood Grocery,"Grocery Store Business For Sale in Lafayette, Louisiana Suburb",1161 Grand Anse Highway,Breaux Bridge,70517,0,165000,,Other Business Interests,Yes,1,Yes,Yes,240000,0,7 am - 7 pm,,LAFAYETLA1-N9,,"Don Pippin, Jr.",Grocery Stores,12/14/2012 0:00,6/30/2013 0:00,"Liquor, Board of Health",7 days,7 am - 7 pm,2,2,Active,2,1,LA,337-667-6845,2065,1982,2,2,0,0,"	This very nice grocery store business for sale is located in a suburb area of Lafayette, Louisiana.  The business has been in operation for over 30 years, and has become a staple in its rural community.  The grocery sells standard supermarket food and drink items, including a specialty in seafood.  The store is well-known for its handmade boulets, authentic eggrolls, and stuffed crawfish heads.  Business also sells beer, wine, and hard liquor.  Currently, the business is absentee owner, so an owner operator would have an increased cash flow.  The retail area is very spacious measuring approximately 2,065 sq ft in an impressive building on an approximately 1 / 2 acre lot.  Real estate is included in the sale.  
	This grocery store business for sale is found in a charming and very safe rural area, on a heavily traveled road.  The business presents very well from the road, and is highly visible as well as easily accessible.  This grocery store is located in a rural suburban area of Lafayette, Louisiana.  This area has great culture, terrific food, and an abundance of outdoor activities.  There are also good schools and affordable housing, many with large or acreage lots.  It is a great area to live, do business, and raise a family.
	Seller has other business interests and is highly motivated to divest this grocery store business for sale.  Seller will train the new owner on this very easy to own and operate business.  Seller will finance the sale of this business to a qualified buyer with a reasonable down payment.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this established grocery store business for sale, meet the owner, make offer.
",Lafayette Suburb,25000,2,2,15000,240000,30000,90000,2012,6/20/2016 21:28,6/20/2016 21:28,"Don Pippin, Jr.",3500,sq ft,1,,,
